field_season	date_collected	species	plot	sex	weight_g	scale_calibrated
2013	2013-07-16	DM	2	F	null	null
2013	2013-07-16	DM	7	M	33	y
2013	2013-07-16	DM	3	M	null	null
2013	2013-07-16	DM	1	M	null	null
2013	2013-07-18	DM	3	M	40	y
2013	2013-07-18	DM	7	M	48	y
2013	2013-07-18	DM	4	F	29	y
2013	2013-07-18	DM	6	F	37	y
2013	2013-08-19	DO	8	F	52	y
2013	2013-10-17	DO	3	F	33	y
2013	2013-10-17	DO	3	F	50	y
2013	2013-12-10	DO	9	F	40	y
2013	2013-12-10	DO	1	M	45	y
2013	2013-12-11	DO	8	F	41	y
2013	2013-11-12	DS	9	F	117	y
2013	2013-11-13	DS	11	F	126	y
2013	2013-11-13	DS	17	M	132	n
2013	2013-11-13	DS	14	F	113	n
2013	2013-11-13	DS	11	F	122	y
2013	2013-11-13	DS	4	F	107	y
2013	2013-11-13	DS	4	F	115	y
2014	2014-01-09	DM	1	M	40	y
2014	2014-01-09	DM	1	F	36	y
2014	2014-03-13	DM	1	F	51	y
2014	2014-03-13	DM	1	F	44	y
2014	2014-03-13	DS	1	F	146	y
2014	2014-01-08	NA	2	null	null	null
2014	2014-01-08	DM	2	M	44	y
2014	2014-01-08	PF	2	F	7	y
2014	2014-01-08	DM	2	M	45	y
2014	2014-01-08	OT	2	null	null	null
2014	2014-01-08	DS	2	M	157	n
2014	2014-01-08	OX	2	null	null	null
2014	2014-02-18	NA	2	M	218	n
2014	2014-02-18	PF	2	F	7	y
2014	2014-02-18	DM	2	M	52	y
2015	2015-03-11	PF	3	M	8	y
2015	2015-04-08	NA	3	F	null	null
2015	2015-05-06	null	3	null	null	null
2015	2015-05-18	NA	3	F	182	y
2015	2015-06-09	OT	3	F	29	y
2015	2015-07-08	NA	3	F	115	y
2015	2015-07-08	NA	3	M	190	y
1978	1978-01-08	DM	4	F	37	y
1978	1978-01-08	DM	4	M	null	null
1978	1978-01-08	DM	4	F	48	y
1978	1978-01-08	DO	4	M	52	y
1978	1978-01-08	OL	4	M	35	y
